id	file	line	kind	tok	new
1	R/activity.R	59	numeric+1	1	2
2	R/activity.R	60	function swap	any	all
3	R/activity.R	62	numeric+1	1	2
4	R/activity.R	86	numeric+1	1	2
5	R/activity.R	129	numeric+1	1	2
6	R/activity.R	138	function swap	any	all
7	R/activity.R	138	relational/logical	<	<=
8	R/activity.R	138	numeric+1	0	1
9	R/activity.R	170	function swap	sum	prod
10	R/activity.R	171	relational/logical	>	>=
11	R/activity.R	171	numeric+1	0	1
12	R/activity.R	248	function swap	sort	rev
13	R/activity.R	248	function swap	unique	identity
14	R/activity.R	251	relational/logical	==	!=
15	R/activity.R	251	numeric+1	0	1
16	R/activity.R	251	relational/logical	||	&&
17	R/activity.R	251	relational/logical	>	>=
18	R/activity.R	251	numeric+1	0	1
19	R/activity.R	256	relational/logical	==	!=
20	R/activity.R	256	numeric+1	0	1
21	R/activity.R	271	numeric+1	2	3
22	R/activity.R	315	relational/logical	==	!=
23	R/activity.R	315	numeric+1	0	1
24	R/activity.R	315	numeric+1	0	1
25	R/activity.R	315	function swap	max	min
26	R/activity.R	315	function swap	min	max
27	R/activity.R	315	numeric+1	1	2
28	R/activity.R	46	bool flip	FALSE	TRUE
29	R/activity.R	50	bool flip	FALSE	TRUE
30	R/activity.R	52	bool flip	TRUE	FALSE
31	R/activity.R	64	bool flip	FALSE	TRUE
32	R/activity.R	132	bool flip	FALSE	TRUE
33	R/activity.R	136	bool flip	FALSE	TRUE
34	R/activity.R	140	bool flip	FALSE	TRUE
35	R/activity.R	178	bool flip	TRUE	FALSE
36	R/activity.R	227	bool flip	TRUE	FALSE
37	R/activity.R	253	bool flip	FALSE	TRUE
38	R/activity.R	258	bool flip	FALSE	TRUE
39	R/activity.R	265	bool flip	FALSE	TRUE
40	R/activity.R	266	bool flip	FALSE	TRUE
41	R/activity.R	314	bool flip	TRUE	FALSE
42	R/blocking.R	54	relational/logical	>	>=
43	R/blocking.R	54	numeric+1	0	1
44	R/blocking.R	55	relational/logical	>	>=
45	R/blocking.R	55	numeric+1	0	1
46	R/blocking.R	55	numeric+1	1	2
47	R/blocking.R	61	relational/logical	>	>=
48	R/blocking.R	61	numeric+1	0	1
49	R/blocking.R	83	numeric+1	100	101
50	R/blocking.R	96	relational/logical	&&	||
51	R/blocking.R	96	relational/logical	<	<=
52	R/blocking.R	96	numeric+1	1	2
53	R/blocking.R	107	relational/logical	>	>=
54	R/blocking.R	107	numeric+1	0	1
55	R/blocking.R	111	numeric+1	1	2
56	R/blocking.R	129	relational/logical	&&	||
57	R/blocking.R	129	relational/logical	<	<=
58	R/blocking.R	129	numeric+1	1	2
59	R/blocking.R	133	numeric+1	4	5
60	R/blocking.R	157	numeric+1	0	1
61	R/blocking.R	158	function swap	sum	prod
62	R/blocking.R	160	relational/logical	==	!=
63	R/blocking.R	160	numeric+1	0	1
64	R/blocking.R	160	numeric+1	0	1
65	R/blocking.R	160	function swap	sum	prod
66	R/blocking.R	160	relational/logical	==	!=
67	R/blocking.R	269	numeric+1	1e7	10000001
68	R/blocking.R	271	relational/logical	||	&&
69	R/blocking.R	278	relational/logical	||	&&
70	R/blocking.R	278	relational/logical	==	!=
71	R/blocking.R	278	numeric+1	0	1
72	R/blocking.R	278	relational/logical	||	&&
73	R/blocking.R	279	function swap	all	any
74	R/blocking.R	279	relational/logical	&&	||
75	R/blocking.R	279	relational/logical	>	>=
76	R/blocking.R	279	numeric+1	0	1
77	R/blocking.R	279	numeric+1	1	2
78	R/blocking.R	287	relational/logical	||	&&
79	R/blocking.R	288	relational/logical	>	>=
80	R/blocking.R	288	numeric+1	0	1
81	R/blocking.R	288	relational/logical	&&	||
82	R/blocking.R	298	function swap	unique	identity
83	R/blocking.R	304	relational/logical	>	>=
84	R/blocking.R	304	numeric+1	0	1
85	R/blocking.R	309	relational/logical	||	&&
86	R/blocking.R	309	relational/logical	!=	==
87	R/blocking.R	309	relational/logical	||	&&
88	R/blocking.R	309	relational/logical	||	&&
89	R/blocking.R	310	relational/logical	<	<=
90	R/blocking.R	310	numeric+1	1	2
91	R/blocking.R	318	numeric+1	0	1
92	R/blocking.R	319	numeric+1	0	1
93	R/blocking.R	327	relational/logical	==	!=
94	R/blocking.R	327	numeric+1	0	1
95	R/blocking.R	334	function swap	sum	prod
96	R/blocking.R	336	numeric+1	1	2
97	R/blocking.R	337	relational/logical	>	>=
98	R/blocking.R	362	relational/logical	>	>=
99	R/blocking.R	362	numeric+1	0	1
100	R/blocking.R	362	relational/logical	&&	||
101	R/blocking.R	362	relational/logical	>	>=
102	R/blocking.R	362	numeric+1	1	2
103	R/blocking.R	365	numeric+1	1	2
104	R/blocking.R	370	relational/logical	>	>=
105	R/blocking.R	370	numeric+1	0	1
106	R/blocking.R	386	function swap	unique	identity
107	R/blocking.R	388	numeric+1	1	2
108	R/blocking.R	389	relational/logical	>	>=
109	R/blocking.R	389	numeric+1	0	1
110	R/blocking.R	437	numeric+1	10	11
111	R/blocking.R	441	relational/logical	||	&&
112	R/blocking.R	441	relational/logical	!=	==
113	R/blocking.R	441	relational/logical	||	&&
114	R/blocking.R	441	relational/logical	||	&&
115	R/blocking.R	441	relational/logical	<	<=
116	R/blocking.R	441	numeric+1	1	2
117	R/blocking.R	466	function swap	head	tail
118	R/blocking.R	470	relational/logical	<=	<
119	R/blocking.R	474	relational/logical	<=	<
120	R/blocking.R	477	function swap	sort	rev
121	R/blocking.R	481	function swap	unique	identity
122	R/blocking.R	487	function swap	sum	prod
123	R/blocking.R	487	relational/logical	==	!=
124	R/blocking.R	488	function swap	sum	prod
125	R/blocking.R	488	relational/logical	==	!=
126	R/blocking.R	492	function swap	unique	identity
127	R/blocking.R	493	function swap	unique	identity
128	R/blocking.R	498	function swap	unique	identity
129	R/blocking.R	499	function swap	unique	identity
130	R/blocking.R	540	function swap	all	any
131	R/blocking.R	540	relational/logical	&&	||
132	R/blocking.R	541	function swap	all	any
133	R/blocking.R	545	function swap	all	any
134	R/blocking.R	552	function swap	unique	identity
135	R/blocking.R	561	function swap	unique	identity
136	R/blocking.R	572	numeric+1	0	1
137	R/blocking.R	575	relational/logical	&&	||
138	R/blocking.R	580	function swap	sum	prod
139	R/blocking.R	581	function swap	sum	prod
140	R/blocking.R	581	relational/logical	==	!=
141	R/blocking.R	583	function swap	unique	identity
142	R/blocking.R	136	bool flip	FALSE	TRUE
143	R/blocking.R	175	bool flip	FALSE	TRUE
144	R/blocking.R	176	bool flip	FALSE	TRUE
145	R/blocking.R	273	bool flip	FALSE	TRUE
146	R/blocking.R	282	bool flip	FALSE	TRUE
147	R/blocking.R	290	bool flip	FALSE	TRUE
148	R/blocking.R	295	bool flip	FALSE	TRUE
149	R/blocking.R	298	bool flip	FALSE	TRUE
150	R/blocking.R	306	bool flip	FALSE	TRUE
151	R/blocking.R	312	bool flip	FALSE	TRUE
152	R/blocking.R	339	bool flip	FALSE	TRUE
153	R/blocking.R	341	bool flip	FALSE	TRUE
154	R/blocking.R	343	bool flip	FALSE	TRUE
155	R/blocking.R	358	bool flip	FALSE	TRUE
156	R/blocking.R	359	bool flip	FALSE	TRUE
157	R/blocking.R	443	bool flip	FALSE	TRUE
158	R/blocking.R	449	bool flip	FALSE	TRUE
159	R/blocking.R	478	bool flip	FALSE	TRUE
160	R/blocking.R	535	bool flip	FALSE	TRUE
161	R/blocking.R	548	bool flip	FALSE	TRUE
162	R/blocking.R	556	bool flip	FALSE	TRUE
163	R/blocking.R	565	bool flip	FALSE	TRUE
164	R/combine.R	51	relational/logical	||	&&
165	R/combine.R	53	numeric+1	1	2
166	R/combine.R	55	relational/logical	==	!=
167	R/combine.R	55	numeric+1	0	1
168	R/combine.R	62	numeric+1	1	2
169	R/combine.R	64	function swap	unique	identity
170	R/combine.R	64	relational/logical	>	>=
171	R/combine.R	64	numeric+1	1	2
172	R/combine.R	66	function swap	unique	identity
173	R/combine.R	72	numeric+1	1	2
174	R/combine.R	74	relational/logical	||	&&
175	R/combine.R	74	relational/logical	!=	==
176	R/combine.R	78	relational/logical	||	&&
177	R/combine.R	78	function swap	any	all
178	R/combine.R	78	relational/logical	<	<=
