attribute,value,parent
AREA,"千代田区","東京都"
AREA,"港区","東京都"
AREA,"新宿区","東京都"
AREA,"世田谷区","東京都"
AREA,"東京都","関東"
AREA,"横浜市","神奈川県"
AREA,"川崎市","神奈川県"
AREA,"相模原市","神奈川県"
AREA,"神奈川県","関東"
AREA,"さいたま市","埼玉県"
AREA,"川口市","埼玉県"
AREA,"埼玉県","関東"
AREA,"千葉市","千葉県"
AREA,"船橋市","千葉県"
AREA,"千葉県","関東"
AREA,"大阪市","大阪府"
AREA,"堺市","大阪府"
AREA,"大阪府","近畿"
AREA,"京都市","京都府"
AREA,"宇治市","京都府"
AREA,"京都府","近畿"
AREA,"神戸市","兵庫県"
AREA,"姫路市","兵庫県"
AREA,"兵庫県","近畿"
AREA,"名古屋市","愛知県"
AREA,"豊田市","愛知県"
AREA,"愛知県","中部"
AREA,"静岡市","静岡県"
AREA,"浜松市","静岡県"
AREA,"静岡県","中部"
AGE,"[0,5)","[0,10)"
AGE,"[5,10)","[0,10)"
AGE,"[10,15)","[10,20)"
AGE,"[15,20)","[10,20)"
AGE,"[20,25)","[20,30)"
AGE,"[25,30)","[20,30)"
AGE,"[30,35)","[30,40)"
AGE,"[35,40)","[30,40)"
AGE,"[40,45)","[40,50)"
AGE,"[45,50)","[40,50)"
AGE,"[50,55)","[50,60)"
AGE,"[55,60)","[50,60)"
AGE,"[60,65)","[60,70)"
AGE,"[65,70)","[60,70)"
AGE,"[70,75)","[70,80)"
AGE,"[75,80)","[70,80)"
AGE,"[80,85)","[80,90)"
AGE,"[85,90)","[80,90)"
AGE,"[90,95)","[90,100)"
AGE,"[95,100)","[90,100)"
